id,x1,x2,x3,x4
pca-066,-2.449231,-1.806953,1.205583,-1.556607
pca-067,-1.417012,-1.146411,0.104630,-0.659438
pca-068,0.302082,0.131523,-0.804324,0.567875
pca-069,0.660239,0.372514,-0.811072,0.512792
pca-070,0.212719,-0.125200,-0.826613,0.480156
pca-071,0.634569,0.440585,-0.225890,0.403611
pca-072,0.322211,0.073104,-1.125533,0.686497
pca-073,1.832224,1.027153,-1.342418,1.148710
pca-074,-3.780489,-2.897825,1.879402,-1.991391
pca-075,-0.432997,-0.489532,0.443101,-0.376807
pca-076,-1.791912,-1.539266,0.681253,-0.991931
pca-077,0.466920,0.270937,-0.688954,0.553962
pca-078,-1.065897,-1.092112,-0.231413,-0.314839
pca-079,-0.038372,-0.135365,-0.197994,-0.036719
pca-080,1.249971,1.037018,0.208564,0.331342
pca-081,1.701239,1.326844,-1.185326,1.147240
pca-082,0.258568,0.395050,0.164012,0.144834
pca-083,-0.332784,-0.507664,-0.655979,0.022877
pca-084,-0.186933,-0.128889,-0.139710,0.016428
pca-085,1.844101,1.320584,-0.816110,1.071014
pca-086,-0.733642,-0.750988,-0.744556,-0.000592
pca-087,0.558103,0.595710,0.584033,-0.051214
pca-088,-0.810003,-0.735748,-0.215110,-0.308155
pca-089,0.785569,0.654618,-0.127343,0.288008
pca-090,0.634817,0.394423,0.023232,0.267346
pca-091,-0.648785,-0.288381,0.644780,-0.746569
pca-092,0.141078,0.193800,0.173260,0.085791
pca-093,-0.108786,-0.123320,0.196502,-0.042140
pca-094,-1.118965,-0.927422,0.147687,-0.311232
pca-095,0.106130,0.090617,0.232028,0.154060
pca-096,0.699589,0.867701,0.656814,-0.063479
pca-097,0.130115,0.408312,1.169356,-0.538433
pca-098,-1.168541,-1.040615,0.595328,-0.549824
pca-099,0.668106,0.359473,-0.381968,0.271868
pca-100,0.594880,0.525908,0.215267,0.222309
pca-101,-0.211221,-0.325118,0.226955,-0.315267
pca-102,-1.010181,-0.914011,-0.088867,-0.204496
pca-103,-0.387206,-0.294082,0.504137,-0.318588
pca-104,-1.646603,-1.175112,0.760445,-0.968418
pca-105,0.691913,0.239163,-1.045876,0.675314
pca-106,-0.437580,-0.428589,-0.527850,0.095679
pca-107,-2.068778,-1.644766,0.882764,-1.247036
pca-108,0.928734,0.737873,-0.038467,0.320938
pca-109,0.257691,0.246842,0.152554,0.014388
pca-110,0.724547,0.455949,-0.853045,0.532975
pca-111,0.807869,0.706922,-0.422501,0.416042
pca-112,1.906431,1.504535,-0.839153,1.141053
pca-113,-1.072898,-0.654240,1.568547,-1.125116
pca-114,1.681778,1.487292,-0.187328,0.585145
pca-115,2.144632,1.622100,-1.450697,1.254915
pca-116,2.777579,2.205996,-0.439077,1.310593
pca-117,0.648877,0.567255,-0.042741,0.269458
pca-118,0.559918,0.485391,-0.256962,0.462641
pca-119,-0.660654,-0.731232,-0.179207,-0.228245
pca-120,-0.038738,0.088842,0.564928,-0.356844
pca-121,-0.822541,-0.390781,0.910232,-0.531201
pca-122,-1.160349,-0.806715,0.613717,-0.686439
pca-123,-0.581682,-0.631227,0.052114,-0.293753
pca-124,-0.520235,-0.262179,0.594028,-0.494180
pca-125,-3.969730,-3.130737,1.242749,-1.985344
pca-126,-0.822438,-0.504342,0.055073,-0.390447
pca-127,1.015975,0.731628,-1.079657,0.849152
pca-128,1.263481,1.057708,-0.338301,0.676855
pca-129,-2.024921,-1.745639,0.211814,-0.950100
pca-130,0.598433,0.672511,0.543610,-0.081134
pca-131,-1.240203,-1.010005,0.947322,-0.725275
pca-132,-0.675402,-0.612624,0.201622,-0.258883
pca-133,-0.088446,-0.079852,0.701321,-0.428388
pca-134,-0.781422,-0.699602,-0.141328,-0.211621
pca-135,0.456631,0.487611,0.346595,0.034653
pca-136,-0.639914,-0.407386,0.490274,-0.490487
pca-137,-2.092492,-1.869674,0.165845,-0.805107
pca-138,-0.854401,-0.673664,0.098865,-0.328887
pca-139,1.880355,1.387544,-1.029138,1.170249
pca-140,-2.627226,-1.959981,0.859938,-1.153962
pca-141,-1.111769,-0.868761,0.149543,-0.373756
pca-142,0.027762,0.025774,-0.476823,0.041680
pca-143,0.337098,0.094489,0.109657,0.003192
pca-144,0.890856,0.780793,-1.038948,0.857315
pca-145,-0.309353,-0.071475,0.778112,-0.509735
pca-146,-3.338873,-2.430216,1.336982,-1.734471
pca-147,-0.347297,-0.365912,0.891234,-0.295170
pca-148,-1.012206,-0.803205,0.584412,-0.585279
pca-149,2.079265,1.790852,-0.505722,1.006414
pca-150,0.991584,0.587909,-0.821746,0.712894
pca-151,0.817351,0.607572,-0.530837,0.579489
pca-152,-1.999861,-1.656189,0.367671,-0.874170
pca-153,-1.599617,-1.202415,0.989935,-1.011871
pca-154,-0.405407,-0.217131,0.533470,-0.371681
pca-155,0.694901,0.493204,-0.824558,0.712362
pca-156,0.585897,0.364765,0.079014,0.122883
pca-157,0.587455,0.374422,-0.149809,0.223489
pca-158,0.563200,0.474779,-0.161911,0.261227
pca-159,-0.339585,-0.178886,0.080759,-0.071408
pca-160,-0.287290,-0.162530,0.573354,-0.324179
pca-161,-1.045118,-1.116606,-0.044056,-0.440324
pca-162,1.471002,1.305485,0.134367,0.394017
pca-163,1.254424,1.132419,-0.237854,0.508155
pca-164,-0.452327,-0.063507,0.590674,-0.395167
pca-165,0.000469,0.160662,-0.331363,0.240643
pca-166,0.337558,0.429838,0.519342,-0.194273
pca-167,-0.151157,-0.106171,-0.089193,-0.039170
pca-168,-0.451560,-0.501275,-0.030764,-0.140813
pca-169,-0.329686,-0.426599,-0.286187,-0.124183
pca-170,0.690446,0.598356,0.152024,0.118981
pca-171,-3.469118,-2.506052,1.814615,-1.874009
pca-172,-0.334090,-0.121128,0.137249,-0.304794
pca-173,-1.099626,-0.926718,-0.137415,-0.484467
pca-174,-1.213753,-0.901206,1.249452,-0.795433
pca-175,1.334693,1.085919,0.236463,0.386936
pca-176,-0.885442,-0.812014,0.059319,-0.326186
pca-177,1.628031,1.555463,0.101961,0.631725
pca-178,1.324987,0.801096,-0.314873,0.410044
pca-179,1.919314,1.765828,-0.306482,0.963348
pca-180,-2.316082,-1.716483,1.512439,-1.530293
